ir_k3_r2_re ir_k3_r2_hs ir_k3_re ir_k3_hs ir_k5_r2_re ir_k5_r2_hs ir_k5_re ir_k5_hs ir_k7_re ir_k7_hs skip
58339.78075534105 7756.020501255989 5592.655204236507 6590.879335999489 5948.9114210009575 6271.49622887373 5808.158591389656 6677.996180951595 5909.067578613758 6451.218016445637 8876.09701603651
6674.683839082718 7127.731665968895 6448.76379519701 6913.516111671925 6750.765442848206 7012.8146559000015 6219.800002872944 6844.042986631393 6638.36058229208 7171.584106981754 2639.4257321953773
5380.289629101753 6274.694390594959 5406.9481790065765 6100.349500775337 5445.25682926178 6322.048790752888 5442.3317313194275 6144.585460424423 5519.061163067818 6845.851428806782 1553.2763674855232
3857.6485589146614 4036.453738808632 3840.7277315855026 3989.5055815577507 3886.5383714437485 4052.5726974010468 3892.9613307118416 4074.299894273281 4031.403735280037 4180.148430168629 1700.3731802105904
12143.605202436447 8684.054389595985 8118.868246674538 8452.29271799326 7938.966900110246 8791.4377450943 8368.520997464657 8917.703106999397 7782.23667293787 8279.347606003284 3675.803542137146
16490.49073457718 15566.552802920341 14446.203596889973 15986.798889935018 14495.733007788658 15925.429575145245 14859.155751764774 15670.576132833958 15022.581443190575 17062.687315046787 1.362338662147522
19639.796018600464 20542.077533900738 19963.87280523777 20635.086484253407 19158.75431150198 20325.29953867197 19326.86325162649 21368.59241873026 20624.569803476334 21971.862018108368 9989.541582763195
25548.061169683933 25519.354827702045 23624.499328434467 25774.328969419003 23631.09514117241 25088.665075600147 23872.263357043266 25820.72727382183 24175.69998651743 25630.928203463554 5971.125513315201
12101.854383945465 12569.927424192429 12048.868834972382 12538.383528590202 12265.586480498314 12675.982154905796 12251.190654933453 12669.973820447922 12492.772750556469 12983.869016170502 1.4083459973335266
16407.7153429389 16969.96632963419 16363.365203142168 16909.62426364422 16494.319960474968 17040.874995291233 16570.03704458475 17026.956006884575 16783.4734544158 17304.515838623047 9230.787679553032
38851.17769241333 39058.50574374199 37763.686850667 38715.545646846294 38733.42704027891 40624.67608600855 38696.05399668217 38725.00825673342 38645.89110016823 39471.86432778835 1.358427107334137
